,state_id,counts,link,status,more,code
0,Alabama,3,https://dcm.alabama.gov/PDF/docs/Statement_re_Amended_Rule_355-12-1.pdf,Delay Section 210.8(F),Click for more info,AL
1,Alaska,0,,,,AK
2,American Samoa,0,,,,AS
3,Arizona,0,,,,AZ
4,Arkansas,0,,,,AR
5,California,4,https://www.hcd.ca.gov/building-standards/building-code/docs/cec-fg-express-terms.docx,Adopted 2020 NEC,Click for more info,CA
6,Colorado,3,https://content.govdelivery.com/accounts/CODORA/bulletins/2e613c2,Delay Section 210.8(F),Click for more info,CO
7,Connecticut,2,https://portal.ct.gov/-/media/DAS/Office-of-State-Building-Inspector/2022-CSBC-Public-Comment.pdf,Modified Section 210.8(F),Click for more info,CT
8,Delaware,4,https://delcode.delaware.gov,Adopted 2020 NEC,Adopted in June 2021,DE
9,District of Columbia,0,,,,DC
10,Florida,0,,,,FL
11,Georgia,1,https://www.dca.ga.gov/sites/default/files/2021_nec_amendments.pdf,Deleted Section 210.8(F),Click for more info,GA
12,Guam,0,,,,
13,Hawaii,4,https://ags.hawaii.gov/wp-content/uploads/2021/12/StateElectricalCode_03152022.pdf,Adopted 2020 NEC,Click for more info,HI
14,Idaho,0,,,,ID
15,Illinois,0,,,,IL
16,Indiana,0,,,,IN
17,Iowa,1,https://dps.iowa.gov/divisions/electrical-examining-board/electrical-code-updates,Deleted Section 210.8(F),Click for more info,IA
18,Kansas,0,,,,KS
19,Kentucky,0,,,,KY
20,Louisiana,2,http://lsuccc.dps.louisiana.gov/pdf/PROPOSED_2021_NEC_AMENDMENTS_5-3-22 MEETING.pdf,Modified Section 210.8(F),Unanimous vote 2/16/2022,LA
21,Maine,2,https://up.codes/viewer/maine/nfpa-70-2020/chapter/2/wiring-and-protection#2,Modified Section 210.8(F),Click for more info,ME
22,Marshall Islands,0,,,,
23,Maryland,0,,,,MD
24,Massachusetts,1,https://www.mass.gov/doc/527-cmr-12-massachusetts-electrical-code-amendments/download ,Deleted Section 210.8(F),Click for more info,MA
25,Michigan,0,,,,MI
26,Minnesota,3,https://www.dli.mn.gov/sites/default/files/pdf/review60fall21.pdf,Delay Section 210.8(F),Click for more info,MN
27,Mississippi,0,,,,MS
28,Missouri,0,,,,MO
29,Montana,0,,,,MT
30,N. Mariana Islands,0,,,,
31,Nebraska,0,,,,NE
32,Nevada,0,,,,NV
33,New Hampshire,1,https://www.nh.gov/safety/boardsandcommissions/bldgcode/meetings/documents/PA-EL-AR.pdf,Deleted Section 210.8(F),Click for more info,NH
34,New Jersey,3,https://www.nj.gov/dca/divisions/codes/advisory/pdf_ucc/CAB_minutes_08_13_2021.pdf,Delay Section 210.8(F),Click for more info,NJ
35,New Mexico,0,,,,NM
36,New York,0,,,,NY
37,North Carolina,1,https://www.ncosfm.gov/media/2068/open,Deleted Section 210.8(F),Click for more info,NC
38,North Dakota,3,https://www.ndseb.com/image/cache/Booklet.2020.Final_-_W-Revised_Apendix.pdf,Delay Section 210.8(F),Click for more info,ND
39,Ohio,2,,Modified Section 210.8(F),Variable Speed Drive Exemption on 9/2/2021,OH
40,Oklahoma,1,https://www.ok.gov/oubcc/documents/2021%2010%2019%20Meeting%20Minutes.pdf,Deleted Section 210.8(F),Click for more info,OK
41,Oregon,2,https://www.oregon.gov/bcd/codes-stand/Documents/21oesc-table1-E-2021April.pdf,Modified Section 210.8(F),Click for more info,OR
42,Palau,0,,,,
43,Pennsylvania,0,,,,PA
44,Puerto Rico,0,,,,
45,Rhode Island,4,https://rules.sos.ri.gov/Regulations/part/510-00-00-5?reg_id=11323&utm_source=Campaign%3a+Code+Alerts&utm_medium=newsletter&utm_campaign=11+January+2022,Adopted 2020 NEC,Click for more info,RI
46,South Carolina,1,,Deleted Section 210.8(F),,SC
47,South Dakota,1,https://dlr.sd.gov/electrical/documents/adopted_code_2020.pdf,Deleted Section 210.8(F),Click for more info,SD
48,Tennessee,0,,,,TN
49,Texas,3,https://www.sos.state.tx.us/texreg/archive/November122021/Adopted%20Rules/16.ECONOMIC%20REGULATION.html#70,Delay Section 210.8(F),Click for more info,TX
50,Utah,1,https://legiscan.com/UT/text/SB0033/id/2335968/Utah-2021-SB0033-Enrolled.pdf,Deleted Section 210.8(F),Click for more info,UT
51,Vermont,3,https://firesafety.vermont.gov/sites/firesafety/files/documents/2020%20Electrical%20Rules%20-%20Final%20Copy%20-%203-30-22%20%283%29_0.pdf,Delay Section 210.8(F),Click for more info,VT
52,Virgin Islands,0,,,,
53,Virginia,0,,,,VA
54,Washington,3,https://lni.wa.gov/licensing-permits/_docs/Elc2011.pdf,Delay Section 210.8(F),Click for more info,WA
55,West Virginia,3,https://apps.sos.wv.gov/adlaw/csr/readfile.aspx?DocId=55046&Format=PDF,Delay Section 210.8(F),Click for more info,WV
56,Wisconsin,0,,,,WI
57,Wyoming,4,https://up.codes/viewer/wyoming/nfpa-70-2020,Adopted 2020 NEC,Click for more info,WY
