,state_id,counts,link,renewable,ghg
0,Alabama,0,,,
1,Alaska,0,,,
2,American Samoa,0,,,
3,Arizona,0,,,
4,Arkansas,0,,,
5,California,1,https://static1.squarespace.com/static/5a4cfbfe18b27d4da21c9361/t/5d8e519c6c61f24cdf5319ca/1569608094151/USCA_2019+State+Factsheet-CA_20190924.pdf,100% Renewable by 2045,"40% GHG reduction by 2030, carbon neutral by 2045"
6,Colorado,1,https://static1.squarespace.com/static/5a4cfbfe18b27d4da21c9361/t/5d8e51cbee8f446c5857a542/1569608140582/USCA_2019+State+Factsheet-CO_20190924.pdf,30% Renewable by 2020,"26% GHG reduction by 2025, 50% by 2030, 90% by 2050"
7,Connecticut,1,https://static1.squarespace.com/static/5a4cfbfe18b27d4da21c9361/t/5d8e51f1ee8f446c5857a95e/1569608178247/USCA_2019+State+Factsheet-CT_20190924.pdf,40% Renewable by 2030,"10% GHG reduction by 2020, 45% by 2030, 80% by 2050"
8,Delaware,1,https://static1.squarespace.com/static/5a4cfbfe18b27d4da21c9361/t/5d8e520fa5dc16598a441415/1569608208869/USCA_2019+State+Factsheet-DE_20190924.pdf,25% Renewable by 2025,26-28% GHG reduction by 2025
9,District of Columbia,0,,,
10,Federal,0,,,
11,Federated States of Micronesia,0,,,
12,Florida,0,,,
13,Georgia,0,,,
14,Guam,0,,,
15,Hawaii,1,https://static1.squarespace.com/static/5a4cfbfe18b27d4da21c9361/t/5d8e521f19949b6cda95f439/1569608224696/USCA_2019+State+Factsheet-HI_20190924.pdf,100% Renewable by 2045,Carbon neutral by 2045
16,Idaho,0,,,
17,Illinois,1,https://static1.squarespace.com/static/5a4cfbfe18b27d4da21c9361/t/5d8e52300ba3362bcd5df005/1569608241528/USCA_2019+State+Factsheet-IL_20190924.pdf,25% Renewable by 2025,26-28% GHG reduction by 2025
18,Indiana,0,,,
19,Iowa,0,,,
20,Kansas,1,,,
21,Kentucky,0,,,
22,Louisiana,1,,,
