,state_id,counts
0,Alabama,65
1,Alaska,28
2,American Samoa,1
3,Arizona,101
4,Arkansas,54
5,California,360
6,Colorado,194
7,Connecticut,129
8,Delaware,51
9,District of Columbia,30
10,Federal,54
11,Federated States of Micronesia,1
12,Florida,170
13,Georgia,91
14,Guam,5
15,Hawaii,51
16,Idaho,63
17,Illinois,119
18,Indiana,110
19,Iowa,100
20,Kansas,42
21,Kentucky,92
22,Louisiana,40
23,Maine,43
24,Marshall Islands,1
25,Maryland,123
26,Massachusetts,166
27,Michigan,135
28,Minnesota,205
29,Mississippi,40
30,Missouri,92
31,Montana,60
32,N. Mariana Islands,5
33,Nebraska,33
34,Nevada,50
35,New Hampshire,67
36,New Jersey,77
37,New Mexico,67
38,New York,157
39,North Carolina,135
40,North Dakota,27
41,Ohio,100
42,Oklahoma,47
43,Oregon,182
44,Palau,1
45,Pennsylvania,96
46,Puerto Rico,30
47,Rhode Island,56
48,South Carolina,85
49,South Dakota,41
50,Tennessee,82
51,Texas,193
52,Utah,54
53,Vermont,75
54,Virgin Islands,14
55,Virginia,96
56,Washington,204
57,West Virginia,19
58,Wisconsin,138
59,Wyoming,47
