healthcare spending,2010,2011,2012,2013,2014,2015,2016,2017,2018,Notes,,,,,,,,,
Argentina,891,1068,1161,1208,1087,1299,955,966,949,USD/person,,,,,,,,,
Australia,3595,3809,3854,4091,4191,4381,4566,4791,5005,USD/person,,,,,,,,,
Brazil,987,1045,1096,1186,1282,1279,1282,1331,1378,USD/person,,,,,,,,,
Canada,4167,4227,4286,4366,4464,4551,4698,4812,4974,USD/person,,,,,,,,,
China,352,416,482,541,590,641,688,744,799,USD/person,,,,,,,,,
France,4048,4168,4306,4557,4642,4676,4844,4931,4965,USD/person,,,,,,,,,
Germany,4412,4558,4734,4948,5142,5291,5550,5848,5986,USD/person,,,,,,,,,
India,146,152,163,188,190,194,209,219,231,USD/person,,,,,,,,,
Indonesia,213,234,244,259,285,278,301,315,329,USD/person,,,,,,,,,
Italy,3103,3098,3111,3089,3075,3129,3264,3376,3428,USD/person,,,,,,,,,
Japan,3170,3741,3971,4308,4328,4517,4513,4630,4766,USD/person,,,,,,,,,
Korea,1890,1977,2080,2135,2236,2488,2678,2870,3192,USD/person,,,,,,,,,
Mexico,927,940,1004,1028,1004,1075,1066,1105,1138,USD/person,,,,,,,,,
Russia,1205,1359,1499,1405,1509,1425,1419,1514,1539,USD/person,,,,,,,,,
Saudi Arabia,703,882,1017,1113,1285,1244,1147,1221,1278,USD/person,,,,,,,,,
South Africa,865,922,972,996,1039,1075,1072,1106,1137,USD/person,,,,,,,,,
Turkey,843,888,895,948,1007,1040,1127,1186,1227,USD/person,,,,,,,,,
United Kingdom,2871,2910,2968,3574,3668,3703,3833,3943,4070,USD/person,,,,,,,,,
United States,7939,8154,8423,8629,9042,9505,9904,10207,10586,USD/person,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Argentina,Australia,Brazil,Canada,China,France,Germany,India,Indonesia,Italy,Japan,Korea,Mexico,Russia,Saudi Arabia,South Africa,Turkey,United Kingdom,United States
2010,891,3595,987,4167,352,4048,4412,146,213,3103,3170,1890,927,1205,703,865,843,2871,7939
2011,1068,3809,1045,4227,416,4168,4558,152,234,3098,3741,1977,940,1359,882,922,888,2910,8154
2012,1161,3854,1096,4286,482,4306,4734,163,244,3111,3971,2080,1004,1499,1017,972,895,2968,8423
2013,1208,4091,1186,4366,541,4557,4948,188,259,3089,4308,2135,1028,1405,1113,996,948,3574,8629
2014,1087,4191,1282,4464,590,4642,5142,190,285,3075,4328,2236,1004,1509,1285,1039,1007,3668,9042
2015,1299,4381,1279,4551,641,4676,5291,194,278,3129,4517,2488,1075,1425,1244,1075,1040,3703,9505
2016,955,4566,1282,4698,688,4844,5550,209,301,3264,4513,2678,1066,1419,1147,1072,1127,3833,9904
2017,966,4791,1331,4812,744,4931,5848,219,315,3376,4630,2870,1105,1514,1221,1106,1186,3943,10207
2018,949,5005,1378,4974,799,4965,5986,231,329,3428,4766,3192,1138,1539,1278,1137,1227,4070,10586
,,,,,,,,,,,,,,,,,,,
Population Count,,,,,,,,,,,,,,,,,,,
Argentina,40788453,41261490,41733271,42202935,42669500,43131966,43590368,44044811,44494502,,,,,,,,,,
Australia,22031750,22340024,22733465,23128129,23475686,23815995,24190907,24601860,24992369,,,,,,,,,,
Brazil,195713635,197514534,199287296,201035903,202763735,204471769,206163058,207833831,209469333,,,,,,,,,,
Canada,34004889,34339328,34714222,35082954,35437435,35702908,36109487,36540268,37058856,,,,,,,,,,
China,1337705000,1344130000,1350695000,1357380000,1364270000,1371220000,1378665000,1386395000,1392730000,,,,,,,,,,
France,65027507,65342780,65659809,65998687,66316100,66593366,66859768,66865144,66987244,,,,,,,,,,
