"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","EDUEXP","PRY_NTRY","PC_GDP","A","2010",4.488,
"AUS","EDUEXP","PRY_NTRY","PC_GDP","A","2011",4.185,
"AUS","EDUEXP","PRY_NTRY","PC_GDP","A","2012",4.007,
"AUS","EDUEXP","PRY_NTRY","PC_GDP","A","2013",3.985,
"AUS","EDUEXP","PRY_NTRY","PC_GDP","A","2014",3.949,
"AUS","EDUEXP","PRY_NTRY","PC_GDP","A","2015",3.921,
"AUS","EDUEXP","PRY_NTRY","PC_GDP","A","2016",,"M"
"CAN","EDUEXP","PRY_NTRY","PC_GDP","A","2010",3.728,
"CAN","EDUEXP","PRY_NTRY","PC_GDP","A","2011",3.561,
"CAN","EDUEXP","PRY_NTRY","PC_GDP","A","2012",3.523,
"CAN","EDUEXP","PRY_NTRY","PC_GDP","A","2013",3.48,
"CAN","EDUEXP","PRY_NTRY","PC_GDP","A","2014",3.442,
"CAN","EDUEXP","PRY_NTRY","PC_GDP","A","2015",3.504,
"CAN","EDUEXP","PRY_NTRY","PC_GDP","A","2016",,"M"
"FRA","EDUEXP","PRY_NTRY","PC_GDP","A","2010",3.938,
"FRA","EDUEXP","PRY_NTRY","PC_GDP","A","2011",3.809,
"FRA","EDUEXP","PRY_NTRY","PC_GDP","A","2012",3.791,
"FRA","EDUEXP","PRY_NTRY","PC_GDP","A","2013",3.784,
"FRA","EDUEXP","PRY_NTRY","PC_GDP","A","2014",3.784,
"FRA","EDUEXP","PRY_NTRY","PC_GDP","A","2015",3.743,
"FRA","EDUEXP","PRY_NTRY","PC_GDP","A","2016",,"M"
"DEU","EDUEXP","PRY_NTRY","PC_GDP","A","2010",3.317,
"DEU","EDUEXP","PRY_NTRY","PC_GDP","A","2011",3.188,
"DEU","EDUEXP","PRY_NTRY","PC_GDP","A","2012",3.131,
"DEU","EDUEXP","PRY_NTRY","PC_GDP","A","2013",3.1,
"DEU","EDUEXP","PRY_NTRY","PC_GDP","A","2014",3.064,
"DEU","EDUEXP","PRY_NTRY","PC_GDP","A","2015",2.996,
"DEU","EDUEXP","PRY_NTRY","PC_GDP","A","2016",,"M"
"ITA","EDUEXP","PRY_NTRY","PC_GDP","A","2010",2.957,
"ITA","EDUEXP","PRY_NTRY","PC_GDP","A","2011",2.823,
