"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","EDUEXP","PRY_NTRY","USD_STUDENT","A","2010",10324.991,
"AUS","EDUEXP","PRY_NTRY","USD_STUDENT","A","2011",10032.616,
"AUS","EDUEXP","PRY_NTRY","USD_STUDENT","A","2012",9560.232,
"AUS","EDUEXP","PRY_NTRY","USD_STUDENT","A","2013",10318.337,
"AUS","EDUEXP","PRY_NTRY","USD_STUDENT","A","2014",10319.055,
"AUS","EDUEXP","PRY_NTRY","USD_STUDENT","A","2015",10766.426,
"AUS","EDUEXP","PRY_NTRY","USD_STUDENT","A","2016",,"M"
"CAN","EDUEXP","PRY_NTRY","USD_STUDENT","A","2010",9950.004,
"CAN","EDUEXP","PRY_NTRY","USD_STUDENT","A","2011",10000.179,
"CAN","EDUEXP","PRY_NTRY","USD_STUDENT","A","2012",10398.065,
"CAN","EDUEXP","PRY_NTRY","USD_STUDENT","A","2013",10535.674,
"CAN","EDUEXP","PRY_NTRY","USD_STUDENT","A","2014",10501.547,
"CAN","EDUEXP","PRY_NTRY","USD_STUDENT","A","2015",10467.831,
"CAN","EDUEXP","PRY_NTRY","USD_STUDENT","A","2016",,"M"
"FRA","EDUEXP","PRY_NTRY","USD_STUDENT","A","2010",9265.066,
"FRA","EDUEXP","PRY_NTRY","USD_STUDENT","A","2011",9343.783,
"FRA","EDUEXP","PRY_NTRY","USD_STUDENT","A","2012",9312.157,
"FRA","EDUEXP","PRY_NTRY","USD_STUDENT","A","2013",9778.401,
"FRA","EDUEXP","PRY_NTRY","USD_STUDENT","A","2014",9918.34,
"FRA","EDUEXP","PRY_NTRY","USD_STUDENT","A","2015",9897.165,
"FRA","EDUEXP","PRY_NTRY","USD_STUDENT","A","2016",,"M"
"DEU","EDUEXP","PRY_NTRY","USD_STUDENT","A","2010",9203.307,
"DEU","EDUEXP","PRY_NTRY","USD_STUDENT","A","2011",9613.138,
"DEU","EDUEXP","PRY_NTRY","USD_STUDENT","A","2012",9821.053,
"DEU","EDUEXP","PRY_NTRY","USD_STUDENT","A","2013",10300.284,
"DEU","EDUEXP","PRY_NTRY","USD_STUDENT","A","2014",10779.232,
"DEU","EDUEXP","PRY_NTRY","USD_STUDENT","A","2015",10863.375,
"DEU","EDUEXP","PRY_NTRY","USD_STUDENT","A","2016",,"M"
"ITA","EDUEXP","PRY_NTRY","USD_STUDENT","A","2010",8170.425,
"ITA","EDUEXP","PRY_NTRY","USD_STUDENT","A","2011",7993.235,
"ITA","EDUEXP","PRY_NTRY","USD_STUDENT","A","2012",8609.138,
"ITA","EDUEXP","PRY_NTRY","USD_STUDENT","A","2013",8839.537,
"ITA","EDUEXP","PRY_NTRY","USD_STUDENT","A","2014",8727.423,
"ITA","EDUEXP","PRY_NTRY","USD_STUDENT","A","2015",8996.321,
"ITA","EDUEXP","PRY_NTRY","USD_STUDENT","A","2016",,"M"
"JPN","EDUEXP","PRY_NTRY","USD_STUDENT","A","2010",8885.861,
"JPN","EDUEXP","PRY_NTRY","USD_STUDENT","A","2011",9168.719,
"JPN","EDUEXP","PRY_NTRY","USD_STUDENT","A","2012",9563.784,
"JPN","EDUEXP","PRY_NTRY","USD_STUDENT","A","2013",9801.809,
"JPN","EDUEXP","PRY_NTRY","USD_STUDENT","A","2014",10022.11,
"JPN","EDUEXP","PRY_NTRY","USD_STUDENT","A","2015",10167.273,
"JPN","EDUEXP","PRY_NTRY","USD_STUDENT","A","2016",,"M"
"KOR","EDUEXP","PRY_NTRY","USD_STUDENT","A","2010",9122.943,
"KOR","EDUEXP","PRY_NTRY","USD_STUDENT","A","2011",9682.407,
"KOR","EDUEXP","PRY_NTRY","USD_STUDENT","A","2012",10343.851,
"KOR","EDUEXP","PRY_NTRY","USD_STUDENT","A","2013",10524.248,
"KOR","EDUEXP","PRY_NTRY","USD_STUDENT","A","2014",10803.948,
"KOR","EDUEXP","PRY_NTRY","USD_STUDENT","A","2015",11688.437,
"KOR","EDUEXP","PRY_NTRY","USD_STUDENT","A","2016",,"M"
"MEX","EDUEXP","PRY_NTRY","USD_STUDENT","A","2010",2546.722,
"MEX","EDUEXP","PRY_NTRY","USD_STUDENT","A","2011",2764.729,
"MEX","EDUEXP","PRY_NTRY","USD_STUDENT","A","2012",2826.37,
"MEX","EDUEXP","PRY_NTRY","USD_STUDENT","A","2013",2925.221,
"MEX","EDUEXP","PRY_NTRY","USD_STUDENT","A","2014",3032.514,
"MEX","EDUEXP","PRY_NTRY","USD_STUDENT","A","2015",2997.928,
"MEX","EDUEXP","PRY_NTRY","USD_STUDENT","A","2016",,"M"
"TUR","EDUEXP","PRY_NTRY","USD_STUDENT","A","2010",,"M"
"TUR","EDUEXP","PRY_NTRY","USD_STUDENT","A","2011",2770.252,
"TUR","EDUEXP","PRY_NTRY","USD_STUDENT","A","2012",2977.108,
"TUR","EDUEXP","PRY_NTRY","USD_STUDENT","A","2013",3203.07,
"TUR","EDUEXP","PRY_NTRY","USD_STUDENT","A","2014",3559.891,
"TUR","EDUEXP","PRY_NTRY","USD_STUDENT","A","2015",3714.814,
"TUR","EDUEXP","PRY_NTRY","USD_STUDENT","A","2016",,"M"
"GBR","EDUEXP","PRY_NTRY","USD_STUDENT","A","2010",9431.662,
"GBR","EDUEXP","PRY_NTRY","USD_STUDENT","A","2011",9628.766,
"GBR","EDUEXP","PRY_NTRY","USD_STUDENT","A","2012",9966.511,
"GBR","EDUEXP","PRY_NTRY","USD_STUDENT","A","2013",11486.577,
"GBR","EDUEXP","PRY_NTRY","USD_STUDENT","A","2014",11874.896,
"GBR","EDUEXP","PRY_NTRY","USD_STUDENT","A","2015",11028.059,
"GBR","EDUEXP","PRY_NTRY","USD_STUDENT","A","2016",,"M"
"USA","EDUEXP","PRY_NTRY","USD_STUDENT","A","2010",11814.53,
"USA","EDUEXP","PRY_NTRY","USD_STUDENT","A","2011",11726.424,
"USA","EDUEXP","PRY_NTRY","USD_STUDENT","A","2012",11742.52,
"USA","EDUEXP","PRY_NTRY","USD_STUDENT","A","2013",11881.47,
"USA","EDUEXP","PRY_NTRY","USD_STUDENT","A","2014",12175.709,
"USA","EDUEXP","PRY_NTRY","USD_STUDENT","A","2015",12424.258,
"USA","EDUEXP","PRY_NTRY","USD_STUDENT","A","2016",,"M"
"ARG","EDUEXP","PRY_NTRY","USD_STUDENT","A","2010",,"M"
"ARG","EDUEXP","PRY_NTRY","USD_STUDENT","A","2011",,"M"
"ARG","EDUEXP","PRY_NTRY","USD_STUDENT","A","2012",3755.159,
"ARG","EDUEXP","PRY_NTRY","USD_STUDENT","A","2013",4178.732,
"ARG","EDUEXP","PRY_NTRY","USD_STUDENT","A","2014",4057.647,
"ARG","EDUEXP","PRY_NTRY","USD_STUDENT","A","2015",,"M"
"ARG","EDUEXP","PRY_NTRY","USD_STUDENT","A","2016",,"M"
"BRA","EDUEXP","PRY_NTRY","USD_STUDENT","A","2010",,"M"
"BRA","EDUEXP","PRY_NTRY","USD_STUDENT","A","2011",3277.956,
"BRA","EDUEXP","PRY_NTRY","USD_STUDENT","A","2012",,"M"
"BRA","EDUEXP","PRY_NTRY","USD_STUDENT","A","2013",,"M"
"BRA","EDUEXP","PRY_NTRY","USD_STUDENT","A","2014",,"M"
"BRA","EDUEXP","PRY_NTRY","USD_STUDENT","A","2015",,"M"
"BRA","EDUEXP","PRY_NTRY","USD_STUDENT","A","2016",,"M"
"IDN","EDUEXP","PRY_NTRY","USD_STUDENT","A","2010",,"M"
"IDN","EDUEXP","PRY_NTRY","USD_STUDENT","A","2011",,"M"
"IDN","EDUEXP","PRY_NTRY","USD_STUDENT","A","2012",1252.489,
"IDN","EDUEXP","PRY_NTRY","USD_STUDENT","A","2013",1098.605,
"IDN","EDUEXP","PRY_NTRY","USD_STUDENT","A","2014",,"M"
"IDN","EDUEXP","PRY_NTRY","USD_STUDENT","A","2015",1479.537,
"IDN","EDUEXP","PRY_NTRY","USD_STUDENT","A","2016",,"M"
"RUS","EDUEXP","PRY_NTRY","USD_STUDENT","A","2010",,"M"
"RUS","EDUEXP","PRY_NTRY","USD_STUDENT","A","2011",4470.378,
"RUS","EDUEXP","PRY_NTRY","USD_STUDENT","A","2012",5223.885,
"RUS","EDUEXP","PRY_NTRY","USD_STUDENT","A","2013",5390.832,
"RUS","EDUEXP","PRY_NTRY","USD_STUDENT","A","2014",5001.486,
"RUS","EDUEXP","PRY_NTRY","USD_STUDENT","A","2015",4472.609,
"RUS","EDUEXP","PRY_NTRY","USD_STUDENT","A","2016",,"M"
"CHN","EDUEXP","PRY_NTRY","USD_STUDENT","A","2010",,"M"
"CHN","EDUEXP","PRY_NTRY","USD_STUDENT","A","2011",,"M"
"CHN","EDUEXP","PRY_NTRY","USD_STUDENT","A","2012",,"M"
"CHN","EDUEXP","PRY_NTRY","USD_STUDENT","A","2013",,"M"
"CHN","EDUEXP","PRY_NTRY","USD_STUDENT","A","2014",,"M"
"CHN","EDUEXP","PRY_NTRY","USD_STUDENT","A","2015",,"M"
"CHN","EDUEXP","PRY_NTRY","USD_STUDENT","A","2016",,"M"
"IND","EDUEXP","PRY_NTRY","USD_STUDENT","A","2010",,"M"
"IND","EDUEXP","PRY_NTRY","USD_STUDENT","A","2011",,"M"
"IND","EDUEXP","PRY_NTRY","USD_STUDENT","A","2012",,"M"
"IND","EDUEXP","PRY_NTRY","USD_STUDENT","A","2013",,"M"
"IND","EDUEXP","PRY_NTRY","USD_STUDENT","A","2014",,"M"
"IND","EDUEXP","PRY_NTRY","USD_STUDENT","A","2015",,"M"
"IND","EDUEXP","PRY_NTRY","USD_STUDENT","A","2016",,"M"
"SAU","EDUEXP","PRY_NTRY","USD_STUDENT","A","2010",,"M"
"SAU","EDUEXP","PRY_NTRY","USD_STUDENT","A","2011",,"M"
"SAU","EDUEXP","PRY_NTRY","USD_STUDENT","A","2012",,"M"
"SAU","EDUEXP","PRY_NTRY","USD_STUDENT","A","2013",,"M"
"SAU","EDUEXP","PRY_NTRY","USD_STUDENT","A","2014",,"M"
