"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2010",3595.357,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2011",3809.112,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2012",3854.19,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2013",4091.385,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2014",4190.681,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2015",4381.229,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2016",4565.873,"D"
"AUS","HEALTHEXP","TOT","USD_CAP","A","2017",4790.513,
"AUS","HEALTHEXP","TOT","USD_CAP","A","2018",5005.316,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2010",4166.696,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2011",4226.516,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2012",4285.693,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2013",4365.618,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2014",4463.64,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2015",4550.831,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2016",4698.016,
"CAN","HEALTHEXP","TOT","USD_CAP","A","2017",4811.79,"P"
"CAN","HEALTHEXP","TOT","USD_CAP","A","2018",4974.33,"P"
"FRA","HEALTHEXP","TOT","USD_CAP","A","2010",4048.235,
"FRA","HEALTHEXP","TOT","USD_CAP","A","2011",4168.429,
"FRA","HEALTHEXP","TOT","USD_CAP","A","2012",4306.314,
"FRA","HEALTHEXP","TOT","USD_CAP","A","2013",4557.343,
"FRA","HEALTHEXP","TOT","USD_CAP","A","2014",4641.508,
"FRA","HEALTHEXP","TOT","USD_CAP","A","2015",4675.804,
"FRA","HEALTHEXP","TOT","USD_CAP","A","2016",4844.017,
