"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HEALTHEXP","TOT","PC_GDP","A","2010",8.431,"D"
"AUS","HEALTHEXP","TOT","PC_GDP","A","2011",8.542,"D"
"AUS","HEALTHEXP","TOT","PC_GDP","A","2012",8.676,"D"
"AUS","HEALTHEXP","TOT","PC_GDP","A","2013",8.759,"D"
"AUS","HEALTHEXP","TOT","PC_GDP","A","2014",9.038,"D"
"AUS","HEALTHEXP","TOT","PC_GDP","A","2015",9.315,"D"
"AUS","HEALTHEXP","TOT","PC_GDP","A","2016",9.196,"D"
"AUS","HEALTHEXP","TOT","PC_GDP","A","2017",9.206,
"AUS","HEALTHEXP","TOT","PC_GDP","A","2018",9.252,
"CAN","HEALTHEXP","TOT","PC_GDP","A","2010",10.728,
"CAN","HEALTHEXP","TOT","PC_GDP","A","2011",10.403,
"CAN","HEALTHEXP","TOT","PC_GDP","A","2012",10.403,
"CAN","HEALTHEXP","TOT","PC_GDP","A","2013",10.287,
"CAN","HEALTHEXP","TOT","PC_GDP","A","2014",10.121,
"CAN","HEALTHEXP","TOT","PC_GDP","A","2015",10.584,
"CAN","HEALTHEXP","TOT","PC_GDP","A","2016",10.82,
"CAN","HEALTHEXP","TOT","PC_GDP","A","2017",10.663,"P"
"CAN","HEALTHEXP","TOT","PC_GDP","A","2018",10.734,"P"
"FRA","HEALTHEXP","TOT","PC_GDP","A","2010",11.239,
"FRA","HEALTHEXP","TOT","PC_GDP","A","2011",11.203,
"FRA","HEALTHEXP","TOT","PC_GDP","A","2012",11.315,
"FRA","HEALTHEXP","TOT","PC_GDP","A","2013",11.436,
"FRA","HEALTHEXP","TOT","PC_GDP","A","2014",11.571,
"FRA","HEALTHEXP","TOT","PC_GDP","A","2015",11.459,
"FRA","HEALTHEXP","TOT","PC_GDP","A","2016",11.479,
"FRA","HEALTHEXP","TOT","PC_GDP","A","2017",11.313,
"FRA","HEALTHEXP","TOT","PC_GDP","A","2018",11.177,"E"
"DEU","HEALTHEXP","TOT","PC_GDP","A","2010",11.005,
"DEU","HEALTHEXP","TOT","PC_GDP","A","2011",10.721,
"DEU","HEALTHEXP","TOT","PC_GDP","A","2012",10.777,
"DEU","HEALTHEXP","TOT","PC_GDP","A","2013",10.932,
"DEU","HEALTHEXP","TOT","PC_GDP","A","2014",10.96,
"DEU","HEALTHEXP","TOT","PC_GDP","A","2015",11.088,
"DEU","HEALTHEXP","TOT","PC_GDP","A","2016",11.131,
"DEU","HEALTHEXP","TOT","PC_GDP","A","2017",11.247,
"DEU","HEALTHEXP","TOT","PC_GDP","A","2018",11.229,"P"
"ITA","HEALTHEXP","TOT","PC_GDP","A","2010",8.954,
"ITA","HEALTHEXP","TOT","PC_GDP","A","2011",8.835,
"ITA","HEALTHEXP","TOT","PC_GDP","A","2012",8.956,"B"
"ITA","HEALTHEXP","TOT","PC_GDP","A","2013",8.952,
"ITA","HEALTHEXP","TOT","PC_GDP","A","2014",9.011,
"ITA","HEALTHEXP","TOT","PC_GDP","A","2015",8.988,
"ITA","HEALTHEXP","TOT","PC_GDP","A","2016",8.881,
"ITA","HEALTHEXP","TOT","PC_GDP","A","2017",8.84,
"ITA","HEALTHEXP","TOT","PC_GDP","A","2018",8.813,"P"
"JPN","HEALTHEXP","TOT","PC_GDP","A","2010",9.157,
"JPN","HEALTHEXP","TOT","PC_GDP","A","2011",10.617,"B"
"JPN","HEALTHEXP","TOT","PC_GDP","A","2012",10.791,
"JPN","HEALTHEXP","TOT","PC_GDP","A","2013",10.792,
"JPN","HEALTHEXP","TOT","PC_GDP","A","2014",10.832,
"JPN","HEALTHEXP","TOT","PC_GDP","A","2015",10.886,
"JPN","HEALTHEXP","TOT","PC_GDP","A","2016",10.826,
"JPN","HEALTHEXP","TOT","PC_GDP","A","2017",10.936,"P"
"JPN","HEALTHEXP","TOT","PC_GDP","A","2018",10.918,"P"
"KOR","HEALTHEXP","TOT","PC_GDP","A","2010",6.222,
