"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HEALTHEXP","COMPULSORY","PC_GDP","A","2010",5.787,"D"
"AUS","HEALTHEXP","COMPULSORY","PC_GDP","A","2011",5.912,"D"
"AUS","HEALTHEXP","COMPULSORY","PC_GDP","A","2012",5.859,"D"
"AUS","HEALTHEXP","COMPULSORY","PC_GDP","A","2013",5.917,"D"
"AUS","HEALTHEXP","COMPULSORY","PC_GDP","A","2014",6.088,"D"
"AUS","HEALTHEXP","COMPULSORY","PC_GDP","A","2015",6.353,"D"
"AUS","HEALTHEXP","COMPULSORY","PC_GDP","A","2016",6.308,"D"
"AUS","HEALTHEXP","COMPULSORY","PC_GDP","A","2017",6.344,
"AUS","HEALTHEXP","COMPULSORY","PC_GDP","A","2018",6.408,
"CAN","HEALTHEXP","COMPULSORY","PC_GDP","A","2010",7.539,
"CAN","HEALTHEXP","COMPULSORY","PC_GDP","A","2011",7.369,
"CAN","HEALTHEXP","COMPULSORY","PC_GDP","A","2012",7.371,
"CAN","HEALTHEXP","COMPULSORY","PC_GDP","A","2013",7.284,
"CAN","HEALTHEXP","COMPULSORY","PC_GDP","A","2014",7.157,
"CAN","HEALTHEXP","COMPULSORY","PC_GDP","A","2015",7.497,
"CAN","HEALTHEXP","COMPULSORY","PC_GDP","A","2016",7.58,
"CAN","HEALTHEXP","COMPULSORY","PC_GDP","A","2017",7.446,"P"
"CAN","HEALTHEXP","COMPULSORY","PC_GDP","A","2018",7.479,"P"
"FRA","HEALTHEXP","COMPULSORY","PC_GDP","A","2010",8.581,
"FRA","HEALTHEXP","COMPULSORY","PC_GDP","A","2011",8.524,
"FRA","HEALTHEXP","COMPULSORY","PC_GDP","A","2012",8.617,
"FRA","HEALTHEXP","COMPULSORY","PC_GDP","A","2013",8.728,
"FRA","HEALTHEXP","COMPULSORY","PC_GDP","A","2014",8.87,
"FRA","HEALTHEXP","COMPULSORY","PC_GDP","A","2015",8.787,
"FRA","HEALTHEXP","COMPULSORY","PC_GDP","A","2016",9.535,
"FRA","HEALTHEXP","COMPULSORY","PC_GDP","A","2017",9.433,
"FRA","HEALTHEXP","COMPULSORY","PC_GDP","A","2018",9.323,"E"
"DEU","HEALTHEXP","COMPULSORY","PC_GDP","A","2010",9.18,
"DEU","HEALTHEXP","COMPULSORY","PC_GDP","A","2011",8.922,
"DEU","HEALTHEXP","COMPULSORY","PC_GDP","A","2012",8.951,
"DEU","HEALTHEXP","COMPULSORY","PC_GDP","A","2013",9.155,
"DEU","HEALTHEXP","COMPULSORY","PC_GDP","A","2014",9.225,
"DEU","HEALTHEXP","COMPULSORY","PC_GDP","A","2015",9.322,
"DEU","HEALTHEXP","COMPULSORY","PC_GDP","A","2016",9.375,
"DEU","HEALTHEXP","COMPULSORY","PC_GDP","A","2017",9.488,
"DEU","HEALTHEXP","COMPULSORY","PC_GDP","A","2018",9.484,"P"
"ITA","HEALTHEXP","COMPULSORY","PC_GDP","A","2010",7.024,
"ITA","HEALTHEXP","COMPULSORY","PC_GDP","A","2011",6.804,
"ITA","HEALTHEXP","COMPULSORY","PC_GDP","A","2012",6.819,"B"
"ITA","HEALTHEXP","COMPULSORY","PC_GDP","A","2013",6.809,
"ITA","HEALTHEXP","COMPULSORY","PC_GDP","A","2014",6.817,
"ITA","HEALTHEXP","COMPULSORY","PC_GDP","A","2015",6.704,
"ITA","HEALTHEXP","COMPULSORY","PC_GDP","A","2016",6.627,
"ITA","HEALTHEXP","COMPULSORY","PC_GDP","A","2017",6.533,
"ITA","HEALTHEXP","COMPULSORY","PC_GDP","A","2018",6.542,"P"
"JPN","HEALTHEXP","COMPULSORY","PC_GDP","A","2010",7.502,
"JPN","HEALTHEXP","COMPULSORY","PC_GDP","A","2011",8.891,"B"
"JPN","HEALTHEXP","COMPULSORY","PC_GDP","A","2012",9.057,
"JPN","HEALTHEXP","COMPULSORY","PC_GDP","A","2013",9.093,
"JPN","HEALTHEXP","COMPULSORY","PC_GDP","A","2014",9.112,
"JPN","HEALTHEXP","COMPULSORY","PC_GDP","A","2015",9.153,
"JPN","HEALTHEXP","COMPULSORY","PC_GDP","A","2016",9.097,
"JPN","HEALTHEXP","COMPULSORY","PC_GDP","A","2017",9.196,"P"
"JPN","HEALTHEXP","COMPULSORY","PC_GDP","A","2018",9.181,"P"
"KOR","HEALTHEXP","COMPULSORY","PC_GDP","A","2010",3.768,
"KOR","HEALTHEXP","COMPULSORY","PC_GDP","A","2011",3.759,
"KOR","HEALTHEXP","COMPULSORY","PC_GDP","A","2012",3.791,
"KOR","HEALTHEXP","COMPULSORY","PC_GDP","A","2013",3.879,
"KOR","HEALTHEXP","COMPULSORY","PC_GDP","A","2014",4.008,
"KOR","HEALTHEXP","COMPULSORY","PC_GDP","A","2015",4.147,
"KOR","HEALTHEXP","COMPULSORY","PC_GDP","A","2016",4.329,
"KOR","HEALTHEXP","COMPULSORY","PC_GDP","A","2017",4.476,
"KOR","HEALTHEXP","COMPULSORY","PC_GDP","A","2018",4.842,"P"
"MEX","HEALTHEXP","COMPULSORY","PC_GDP","A","2010",2.907,
"MEX","HEALTHEXP","COMPULSORY","PC_GDP","A","2011",2.926,
"MEX","HEALTHEXP","COMPULSORY","PC_GDP","A","2012",3.014,
"MEX","HEALTHEXP","COMPULSORY","PC_GDP","A","2013",3.135,
