"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HEALTHEXP","COMPULSORY","USD_CAP","A","2010",2467.723,"D"
"AUS","HEALTHEXP","COMPULSORY","USD_CAP","A","2011",2636.42,"D"
"AUS","HEALTHEXP","COMPULSORY","USD_CAP","A","2012",2602.958,"D"
"AUS","HEALTHEXP","COMPULSORY","USD_CAP","A","2013",2763.815,"D"
"AUS","HEALTHEXP","COMPULSORY","USD_CAP","A","2014",2822.754,"D"
"AUS","HEALTHEXP","COMPULSORY","USD_CAP","A","2015",2988.358,"D"
"AUS","HEALTHEXP","COMPULSORY","USD_CAP","A","2016",3131.948,"D"
"AUS","HEALTHEXP","COMPULSORY","USD_CAP","A","2017",3301.249,
"AUS","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",3467.036,
"CAN","HEALTHEXP","COMPULSORY","USD_CAP","A","2010",2927.994,
"CAN","HEALTHEXP","COMPULSORY","USD_CAP","A","2011",2993.785,
"CAN","HEALTHEXP","COMPULSORY","USD_CAP","A","2012",3036.643,
"CAN","HEALTHEXP","COMPULSORY","USD_CAP","A","2013",3091.139,
"CAN","HEALTHEXP","COMPULSORY","USD_CAP","A","2014",3156.732,
"CAN","HEALTHEXP","COMPULSORY","USD_CAP","A","2015",3223.45,
"CAN","HEALTHEXP","COMPULSORY","USD_CAP","A","2016",3291.006,
"CAN","HEALTHEXP","COMPULSORY","USD_CAP","A","2017",3360.245,"P"
"CAN","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",3465.984,"P"
"FRA","HEALTHEXP","COMPULSORY","USD_CAP","A","2010",3090.682,
"FRA","HEALTHEXP","COMPULSORY","USD_CAP","A","2011",3171.427,
"FRA","HEALTHEXP","COMPULSORY","USD_CAP","A","2012",3279.362,
"FRA","HEALTHEXP","COMPULSORY","USD_CAP","A","2013",3478.319,
"FRA","HEALTHEXP","COMPULSORY","USD_CAP","A","2014",3557.879,
"FRA","HEALTHEXP","COMPULSORY","USD_CAP","A","2015",3585.515,
"FRA","HEALTHEXP","COMPULSORY","USD_CAP","A","2016",4023.576,
"FRA","HEALTHEXP","COMPULSORY","USD_CAP","A","2017",4111.199,
"FRA","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",4141.169,"E"
"DEU","HEALTHEXP","COMPULSORY","USD_CAP","A","2010",3680.036,
"DEU","HEALTHEXP","COMPULSORY","USD_CAP","A","2011",3793.367,
"DEU","HEALTHEXP","COMPULSORY","USD_CAP","A","2012",3932.107,
"DEU","HEALTHEXP","COMPULSORY","USD_CAP","A","2013",4143.666,
"DEU","HEALTHEXP","COMPULSORY","USD_CAP","A","2014",4328.357,
"DEU","HEALTHEXP","COMPULSORY","USD_CAP","A","2015",4448.609,
"DEU","HEALTHEXP","COMPULSORY","USD_CAP","A","2016",4674.648,
"DEU","HEALTHEXP","COMPULSORY","USD_CAP","A","2017",4933.267,
"DEU","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",5056.076,"P"
"ITA","HEALTHEXP","COMPULSORY","USD_CAP","A","2010",2434.548,
"ITA","HEALTHEXP","COMPULSORY","USD_CAP","A","2011",2386.036,
"ITA","HEALTHEXP","COMPULSORY","USD_CAP","A","2012",2368.164,"B"
"ITA","HEALTHEXP","COMPULSORY","USD_CAP","A","2013",2349.055,
"ITA","HEALTHEXP","COMPULSORY","USD_CAP","A","2014",2326.428,
"ITA","HEALTHEXP","COMPULSORY","USD_CAP","A","2015",2334.192,
"ITA","HEALTHEXP","COMPULSORY","USD_CAP","A","2016",2436.046,
"ITA","HEALTHEXP","COMPULSORY","USD_CAP","A","2017",2495.008,
"ITA","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",2544.577,"P"
"JPN","HEALTHEXP","COMPULSORY","USD_CAP","A","2010",2596.701,
"JPN","HEALTHEXP","COMPULSORY","USD_CAP","A","2011",3132.532,"B"
"JPN","HEALTHEXP","COMPULSORY","USD_CAP","A","2012",3332.691,
"JPN","HEALTHEXP","COMPULSORY","USD_CAP","A","2013",3630.172,
"JPN","HEALTHEXP","COMPULSORY","USD_CAP","A","2014",3640.927,
"JPN","HEALTHEXP","COMPULSORY","USD_CAP","A","2015",3797.912,
"JPN","HEALTHEXP","COMPULSORY","USD_CAP","A","2016",3792.469,
"JPN","HEALTHEXP","COMPULSORY","USD_CAP","A","2017",3893.113,"P"
"JPN","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",4007.751,"P"
"KOR","HEALTHEXP","COMPULSORY","USD_CAP","A","2010",1144.643,
"KOR","HEALTHEXP","COMPULSORY","USD_CAP","A","2011",1180.604,
"KOR","HEALTHEXP","COMPULSORY","USD_CAP","A","2012",1224.805,
"KOR","HEALTHEXP","COMPULSORY","USD_CAP","A","2013",1258.712,
"KOR","HEALTHEXP","COMPULSORY","USD_CAP","A","2014",1313.463,
"KOR","HEALTHEXP","COMPULSORY","USD_CAP","A","2015",1464.584,
"KOR","HEALTHEXP","COMPULSORY","USD_CAP","A","2016",1582.854,
"KOR","HEALTHEXP","COMPULSORY","USD_CAP","A","2017",1689.708,
"KOR","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",1907.552,"P"
"MEX","HEALTHEXP","COMPULSORY","USD_CAP","A","2010",450.935,
"MEX","HEALTHEXP","COMPULSORY","USD_CAP","A","2011",482.525,
"MEX","HEALTHEXP","COMPULSORY","USD_CAP","A","2012",518.064,
"MEX","HEALTHEXP","COMPULSORY","USD_CAP","A","2013",542.453,
"MEX","HEALTHEXP","COMPULSORY","USD_CAP","A","2014",519.926,
"MEX","HEALTHEXP","COMPULSORY","USD_CAP","A","2015",561.039,
"MEX","HEALTHEXP","COMPULSORY","USD_CAP","A","2016",557.772,"B"
"MEX","HEALTHEXP","COMPULSORY","USD_CAP","A","2017",569.198,
"MEX","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",585.802,"E"
"TUR","HEALTHEXP","COMPULSORY","USD_CAP","A","2010",657.756,
"TUR","HEALTHEXP","COMPULSORY","USD_CAP","A","2011",702.909,
"TUR","HEALTHEXP","COMPULSORY","USD_CAP","A","2012",708.381,
"TUR","HEALTHEXP","COMPULSORY","USD_CAP","A","2013",742.558,
"TUR","HEALTHEXP","COMPULSORY","USD_CAP","A","2014",781.307,
"TUR","HEALTHEXP","COMPULSORY","USD_CAP","A","2015",812.883,
"TUR","HEALTHEXP","COMPULSORY","USD_CAP","A","2016",883.851,
"TUR","HEALTHEXP","COMPULSORY","USD_CAP","A","2017",921.339,
"TUR","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",957.131,"E"
"GBR","HEALTHEXP","COMPULSORY","USD_CAP","A","2010",2384.933,
"GBR","HEALTHEXP","COMPULSORY","USD_CAP","A","2011",2403.802,
"GBR","HEALTHEXP","COMPULSORY","USD_CAP","A","2012",2459.298,
"GBR","HEALTHEXP","COMPULSORY","USD_CAP","A","2013",2836.909,"B"
"GBR","HEALTHEXP","COMPULSORY","USD_CAP","A","2014",2915.244,
"GBR","HEALTHEXP","COMPULSORY","USD_CAP","A","2015",2939.611,
"GBR","HEALTHEXP","COMPULSORY","USD_CAP","A","2016",3046.77,
"GBR","HEALTHEXP","COMPULSORY","USD_CAP","A","2017",3107.053,
"GBR","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",3138.498,"E"
"USA","HEALTHEXP","COMPULSORY","USD_CAP","A","2010",3840.602,
"USA","HEALTHEXP","COMPULSORY","USD_CAP","A","2011",3946.271,
"USA","HEALTHEXP","COMPULSORY","USD_CAP","A","2012",4069.041,
"USA","HEALTHEXP","COMPULSORY","USD_CAP","A","2013",4210.145,
"USA","HEALTHEXP","COMPULSORY","USD_CAP","A","2014",7610.06,
"USA","HEALTHEXP","COMPULSORY","USD_CAP","A","2015",8041.099,
"USA","HEALTHEXP","COMPULSORY","USD_CAP","A","2016",8370.84,
"USA","HEALTHEXP","COMPULSORY","USD_CAP","A","2017",8627.259,
"USA","HEALTHEXP","COMPULSORY","USD_CAP","A","2018",8949,"E"
"BRA","HEALTHEXP","COMPULSORY","USD_CAP","A","2010",444.482,"E"
"BRA","HEALTHEXP","COMPULSORY","USD_CAP","A","2011",465.199,"E"
"BRA","HEALTHEXP","COMPULSORY","USD_CAP","A","2012",475.677,"E"
"BRA","HEALTHEXP","COMPULSORY","USD_CAP","A","2013",528.72,"E"
"BRA","HEALTHEXP","COMPULSORY","USD_CAP","A","2014",566.386,"E"
"BRA","HEALTHEXP","COMPULSORY","USD_CAP","A","2015",549.964,"E"
"BRA","HEALTHEXP","COMPULSORY","USD_CAP","A","2016",551.071,"E"
"CHN","HEALTHEXP","COMPULSORY","USD_CAP","A","2010",182.641,
"CHN","HEALTHEXP","COMPULSORY","USD_CAP","A","2011",223.457,
"CHN","HEALTHEXP","COMPULSORY","USD_CAP","A","2012",268.428,
"CHN","HEALTHEXP","COMPULSORY","USD_CAP","A","2013",308.653,
"CHN","HEALTHEXP","COMPULSORY","USD_CAP","A","2014",344.381,
"CHN","HEALTHEXP","COMPULSORY","USD_CAP","A","2015",385.509,
"CHN","HEALTHEXP","COMPULSORY","USD_CAP","A","2016",399.146,
"IND","HEALTHEXP","COMPULSORY","USD_CAP","A","2010",37.224,
"IND","HEALTHEXP","COMPULSORY","USD_CAP","A","2011",42.55,
"IND","HEALTHEXP","COMPULSORY","USD_CAP","A","2012",44.316,
"IND","HEALTHEXP","COMPULSORY","USD_CAP","A","2013",41.542,
"IND","HEALTHEXP","COMPULSORY","USD_CAP","A","2014",43.429,
"IND","HEALTHEXP","COMPULSORY","USD_CAP","A","2015",48.608,
"IND","HEALTHEXP","COMPULSORY","USD_CAP","A","2016",51.814,
"IDN","HEALTHEXP","COMPULSORY","USD_CAP","A","2010",55.965,
"IDN","HEALTHEXP","COMPULSORY","USD_CAP","A","2011",64.541,
"IDN","HEALTHEXP","COMPULSORY","USD_CAP","A","2012",74.375,
"IDN","HEALTHEXP","COMPULSORY","USD_CAP","A","2013",82.755,
"IDN","HEALTHEXP","COMPULSORY","USD_CAP","A","2014",102.632,
"IDN","HEALTHEXP","COMPULSORY","USD_CAP","A","2015",113.522,
"IDN","HEALTHEXP","COMPULSORY","USD_CAP","A","2016",136.051,
"RUS","HEALTHEXP","COMPULSORY","USD_CAP","A","2010",739.693,
"RUS","HEALTHEXP","COMPULSORY","USD_CAP","A","2011",851.398,
"RUS","HEALTHEXP","COMPULSORY","USD_CAP","A","2012",954.767,
"RUS","HEALTHEXP","COMPULSORY","USD_CAP","A","2013",876.689,
"RUS","HEALTHEXP","COMPULSORY","USD_CAP","A","2014",944.694,"B"
"RUS","HEALTHEXP","COMPULSORY","USD_CAP","A","2015",836.458,
"RUS","HEALTHEXP","COMPULSORY","USD_CAP","A","2016",808.39,
"RUS","HEALTHEXP","COMPULSORY","USD_CAP","A","2017",864.134,
"ZAF","HEALTHEXP","COMPULSORY","USD_CAP","A","2010",353.557,
"ZAF","HEALTHEXP","COMPULSORY","USD_CAP","A","2011",391.751,
"ZAF","HEALTHEXP","COMPULSORY","USD_CAP","A","2012",421.108,
"ZAF","HEALTHEXP","COMPULSORY","USD_CAP","A","2013",430.181,
"ZAF","HEALTHEXP","COMPULSORY","USD_CAP","A","2014",446.448,
"ZAF","HEALTHEXP","COMPULSORY","USD_CAP","A","2015",459.194,
